a: EY
citizen: ˈS-IH-T-̬.AX.Z-AX-N
city: ˈS-IH-T-̬.IY
civil: ˈS-IH-V.AX-L
claim: K-L-EY-M
class: K-L-AE-S
clear: K-L-IH-R
clearly: ˈK-L-IH-R.L-IY
close: K-L-OW-Z
coach: K-OW-CH
cold: K-OW-L-D
collection: K-AXˈL-EH-K.SH-AX-N
college: ˈK-AAː.L-IH-JH
color: ˈK-AH-L.AXR
come: K-AH-M
commercial: K-AXˈM-ERː.SH-AX-L
common: ˈK-AAː.M-AX-N
community: K-AXˈM-Y-UWː.N-AX.T-IY
company: ˈK-AH-M.P-AX.N-IY
compare: K-AX-MˈP-EH-R
computer: K-AX-MˈP-Y-UWː.T-AXR
concern: K-AX-NˈS-ERːN
condition: K-AX-NˈD-IH-SH.AX-N
conference: ˈK-AAːN.F-AXR.AX-N-S
Congress: ˈK-AAːNG.G-R-EH-S
consider: K-AX-NˈS-IH-D.AXR
consumer: K-AX-NˈS-UWː.M-AXR
contain: K-AX-NˈT-EY-N
continue: K-AX-NˈT-IH-N.Y-UWː
control: K-AX-NˈT-R-OW-L
cost: K-AAːS-T
could: K-UH-D
country: ˈK-AH-N.T-R-IY
couple: ˈK-AH-P.AX-L
course: K-AOːR-S
court: UW-S-/-K-AOːR-T
cover: ˈK-AH-V.AXR
create: K-R-IYˈEY-T
crime: K-R-AY-M
cultural: ˈK-AH-L.CH-AXR.AX-L
culture: ˈK-AH-L.CH-AXR
cup: K-AH-P
current: ˈK-ERː.AX-N-T
customer: ˈK-AH-S.T-AX.M-AXR
cut: K-AH-T
dark: D-AAːR-K
data: ˈD-EY.T-AX
daughter: ˈD-AAː.T-AXR
day: D-EY
dead: D-EH-D
deal: D-IYːL
death: D-EH-TH
debate: D-IHˈB-EY-T
decade: ˈD-EH-K.EY-D
decide: D-IHˈS-AY-D
decision: D-IHˈS-IH-ZH.AX-N
deep: D-IYːP
defense: D-IHˈF-EH-N-S
degree: D-IHˈG-R-IYː
Democrat: ˈD-EH-M.AX.K-R-AE-T
democratic: ˌD-EH-M.AXˈK-R-AE-T-̬.IH-K
describe: D-IHˈS-K-R-AY-B
design: D-IHˈZ-AY-N
despite: D-IHˈS-P-AY-T
detail: D-IHˈT-EY-L
determine: D-IHˈT-ERː.M-IH-N
develop: D-IHˈV-EH-L.AX-P
development: D-IHˈV-EH-L.AX-P.M-AX-N-T
die: D-AY
difference: ˈD-IH-F.AXR.AX-N-S
different: ˈD-IH-F.AXR.AX-N-T
difficult: ˈD-IH-F.AX.K-AX-L-T
dinner: ˈD-IH-N.AXR
direction: D-IHˈR-EH-K.SH-AX-N
director: D-AYˈR-EH-K.T-AXR
discover: D-IHˈS-K-AH-V.AXR
discuss: D-IHˈS-K-AH-S
discussion: D-IHˈS-K-AH-SH.AX-N
disease: D-IHˈZ-IYːZ
do: D-AX
doctor: ˈD-AAːK.T-AXR
dog: D-AAːG
door: D-AOːR
down: D-AW-N
draw: D-R-AAː
dream: D-R-IYːM
drive: D-R-AY-V
drop: D-R-AAːP
drug: D-R-AH-G
during: ˈD-UH-R.IH-NG
each: IYːCH
early: ˈERː.L-IY
east: IYːS-T
easy: ˈIYː.Z-IY
eat: IYːT
economic: ˌIYː.K-AXˈN-AAː.M-IH-K
economy: IYˈK-AAː.N-AX.M-IY
edge: EH-JH
education: ˌEH-JH.AXˈK-EY.SH-AX-N
effect: AXˈF-EH-K-T
effort: ˈEH-F.AXR-T
eight: EY-T
either: ˈIYː.DH-AXR
election: IYˈL-EH-K.SH-AX-N
else: EH-L-S
employee: IH-MˈP-L-OY.IYː
end: EH-N-D
energy: ˈEH-N.AXR.JH-IY
enjoy: IH-NˈJH-OY
enough: AXˈN-AH-F
enter: ˈEH-N.T-AXR
entire: IH-NˈT-AY-R
environment: IH-NˈV-AY.R-AX-N.M-AX-N-T
environmental: IH-NˌV-AY.R-AX-NˈM-EH-N.T-AX-L
especially: IHˈS-P-EH-SH.AX-L.IY
establish: IHˈS-T-AE-B.L-IH-SH
even: ˈIYː.V-AX-N
evening: ˈIYːV.N-IH-NG
event: IHˈV-EH-N-T
ever: ˈEH-V.AXR
every: ˈEH-V.R-IY
everybody: ˈEH-V.R-IYˌB-AAː.D-IY
everyone: ˈEH-V.R-IY.W-AH-N
everything: ˈEH-V.R-IY.TH-IH-NG
evidence: ˈEH-V.AX.D-AX-N-S
exactly: IH-GˈZ-AE-K-T.L-IY
example: IH-GˈZ-AE-M.P-AX-L
executive: IH-GˈZ-EH-K.Y-AX.T-IH-V
exist: IH-GˈZ-IH-S-T
expect: IH-KˈS-P-EH-K-T
experience: IH-KˈS-P-IH-R.IY.AX-N-S
expert: ˈEH-K.S-P-ERːT
explain: IH-KˈS-P-L-EY-N
eye: AY
face: F-EY-S
fact: F-AE-K-T
factor: ˈF-AE-K.T-AXR
fail: F-EY-L
fall: F-AAːL
family: ˈF-AE-M.AX-L.IY
far: F-AAːR
fast: F-AE-S-T
father: ˈF-AAː.DH-AXR
fear: F-IH-R
federal: ˈF-EH-D.AXR.AX-L
feel: F-IYːL
feeling: ˈF-IYː.L-IH-NG
few: F-Y-UWː
field: F-IYːL-D
fight: F-AY-T
figure: ˈF-IH-G.Y-AXR
fill: F-IH-L
film: F-IH-L-M
final: ˈF-AY.N-AX-L
finally: ˈF-AY.N-AX-L.IY
financial: F-AYˈN-AE-N.SH-AX-L
find: F-AY-N-D
fine: F-AY-N
finger: ˈF-IH-NG.G-AXR
finish: ˈF-IH-N.IH-SH
fire: F-AY-R
firm: F-ERːM
first: ˈF-ERːS-T
fish: F-IH-SH
five: F-AY-V
floor: F-L-AOːR
fly: F-L-AY
focus: ˈF-OW.K-AX-S
follow: ˈF-AAː.L-OW
food: F-UWːD
foot: F-UH-T
for: F-AOːR
force: F-AOːR-S
foreign: ˈF-AOːR.AX-N
forget: F-AXRˈG-EH-T
form: F-AOːR-M
former: ˈF-AOːR.M-AXR
forward: ˈF-AOːR.W-AXR-D
four: F-AOːR
free: F-R-IYː
friend: F-R-EH-N-D
from: F-R-AAːM
front: F-R-AH-N-T
full: F-UH-L
fund: F-AH-N-D
future: ˈF-Y-UWː.CH-AXR
game: G-EY-M
garden: ˈG-AAːR.D-AX-N
gas: G-AE-S
general: ˈJH-EH-N.AX-R.AX-L
generation: ˌJH-EH-N.AXˈR-EY.SH-AX-N
get: G-EH-T
girl: G-ERːL
give: G-IH-V
glass: G-L-AE-S
go: G-OW
goal: G-OW-L
good: G-UH-D
government: ˈG-AH-V.AXR-N.M-AX-N-T
great: G-R-EY-T
green: G-R-IYːN
ground: G-R-AW-N-D
group: G-R-UWːP
grow: G-R-OW
growth: G-R-OW-TH
guess: G-EH-S
gun: G-AH-N
guy: G-AY
hair: HH-EH-R
half: HH-AE-F
hand: HH-AE-N-D
hang: HH-AE-NG
happen: ˈHH-AE-P.AX-N
happy: ˈHH-AE-P.IY
hard: HH-AAːR-D
have: HH-AE-V
he: HH-IYː
head: HH-EH-D
health: HH-EH-L-TH
hear: HH-IH-R
heart: HH-AAːR-T
heat: HH-IYːT
heavy: ˈHH-EH-V.IY
help: HH-EH-L-P
her: HH-ERː
here: HH-IH-R
herself: HH-ERːˈS-EH-L-F
high: HH-AY
him: HH-IH-M
himself: HH-IH-MˈS-EH-L-F
his: HH-IH-Z
history: ˈHH-IH-S.T-AXR.IY
hit: HH-IH-T
hold: HH-OW-L-D
home: HH-OW-M
hope: HH-OW-P
hospital: ˈHH-AAː.S-P-IH.T-AX-L
hot: HH-AAːT
hotel: HH-OWˈT-EH-L
hour: AW-R
house: HH-AW-S
how: HH-AW
however: ˌHH-AWˈEH-V.AXR
huge: HH-Y-UWːJH
human: ˈHH-Y-UWː.M-AX-N
hundred: ˈHH-AH-N.D-R-AX-D
husband: ˈHH-AH-Z.B-AX-N-D
I: AY
idea: AYˈD-IYː.AX
identify: AYˈD-EH-N.T-AX.F-AY
if: IH-F
image: ˈIH-M.IH-JH
imagine: IHˈM-AE-JH.IH-N
impact: ˈIH-M.P-AE-K-T
important: IH-MˈP-AOːR.T-AX-N-T
improve: IH-MˈP-R-UWːV
in: IH-N
include: IH-NˈK-L-UWːD
including: IH-NˈK-L-UWː.D-IH-NG
increase: IH-NˈK-R-IYːS
indeed: IH-NˈD-IYːD
indicate: ˈIH-N.D-AX.K-EY-T
individual: ˌIH-N.D-AXˈV-IH-JH.UW.AX-L
industry: ˈIH-N.D-AX.S-T-R-IY
information: ˌIH-N.F-AXRˈM-EY.SH-AX-N
inside: ˈIH-N.S-AY-D
instead: IH-NˈS-T-EH-D
institution: ˌIH-N.S-T-AXˈT-UWː.SH-AX-N
interest: ˈIH-N.T-R-IH-S-T
interesting: ˈIH-N.T-R-IH.S-T-IH-NG
international: ˌIH-N.T-AXRˈN-AE-SH.AX-N.AX-L
interview: ˈIH-N.T-AXR.V-Y-UWː
into: ˈIH-N.T-UWː
investment: IH-NˈV-EH-S-T.M-AX-N-T
involve: IH-NˈV-AAːL-V
issue: ˈIH-SH.UWː
it: IH-T
item: ˈAY.T-AX-M
its: IH-T-S
itself: IH-TˈS-EH-L-F
job: JH-AAːB
join: JH-OY-N
just: JH-AH-S-T
keep: K-IYːP
key: K-IYː
kid: K-IH-D
kill: K-IH-L
kind: K-AY-N-D
kitchen: ˈK-IH-CH.AX-N
know: N-OW
knowledge: ˈN-AAː.L-IH-JH
land: L-AE-N-D
language: ˈL-AE-NG.G-W-IH-JH
large: L-AAːR-JH
last: L-AE-S-T
late: L-EY-T
later: ˈL-EY.T-AXR
laugh: L-AE-F
law: L-AAː
lawyer: ˈL-OY.Y-AXR
lay: L-EY
lead: L-IYːD
leader: ˈL-IYː.D-AXR
learn: L-ERːN
least: L-IYːS-T
leave: L-IYːV
left: L-EH-F-T
leg: L-EH-G
legal: ˈL-IYː.G-AX-L
less: L-EH-S
let: L-EH-T
letter: ˈL-EH-T-̬.AXR
level: ˈL-EH-V.AX-L
lie: L-AY
life: L-AY-F
light: L-AY-T
like: L-AY-K
likely: ˈL-AY.K-L-IY
line: L-AY-N
list: L-IH-S-T
listen: ˈL-IH-S.AX-N
little: ˈL-IH-T-̬.AX-L
live: L-IH-V
local: ˈL-OW.K-AX-L
long: L-AAːNG
look: L-UH-K
lose: L-UWːZ
loss: L-AAːS
lot: L-AAːT
love: L-AH-V
low: L-OW
machine: M-AXˈSH-IYːN
magazine: ˌM-AE-G.AXˈZ-IYːN
main: M-EY-N
maintain: M-EY-NˈT-EY-N
major: ˈM-EY.JH-AXR
majority: M-AXˈJH-AOː.R-AX.T-IY
make: M-EY-K
man: M-AE-N
manage: ˈM-AE-N.AX-JH
management: ˈM-AE-N.AX-JH.M-AX-N-T
manager: ˈM-AE-N.AX.JH-AXR
many: ˈM-EH-N.IY
market: ˈM-AAːR.K-IH-T
marriage: ˈM-EH-R.IH-JH
material: M-AXˈT-IH-R.IY.AX-L
matter: ˈM-AE-T-̬.AXR
may: M-EY
maybe: ˈM-EY.B-IY
me: M-IYː
mean: M-IYːN
measure: ˈM-EH-ZH.AXR
media: ˈM-IYː.D-IY.AX
medical: ˈM-EH-D.IH.K-AX-L
meet: M-IYːT
meeting: ˈM-IYː.T-IH-NG
member: ˈM-EH-M.B-AXR
memory: ˈM-EH-M.AX-R.IY
mention: ˈM-EH-N.SH-AX-N
message: ˈM-EH-S.IH-JH
method: ˈM-EH-TH.AX-D
middle: ˈM-IH-D.AX-L
might: M-AY-T
military: ˈM-IH-L.AX.T-EH-R.IY
million: ˈM-IH-L.Y-AX-N
mind: M-AY-N-D
minute: ˈM-IH-N.IH-T
miss: M-IH-S
mission: ˈM-IH-SH.AX-N
model: ˈM-AAː.D-AX-L
modern: ˈM-AAː.D-AXR-N
moment: ˈM-OW.M-AX-N-T
money: ˈM-AH-N.IY
month: M-AH-N-TH
more: M-AOːR
morning: ˈM-AOːR.N-IH-NG
most: M-OW-S-T
mother: ˈM-AH-DH.AXR
mouth: M-AW-TH
move: M-UWːV
movement: ˈM-UWːV.M-AX-N-T
movie: ˈM-UWː.V-IY
Mr: ˈM-IH-S.T-AXR
Mrs: ˈM-IH-S.IH-Z
much: M-AH-CH
music: ˈM-Y-UWː.Z-IH-K
must: M-AH-S-T
my: M-AY
myself: M-AYˈS-EH-L-F
name: N-EY-M
nation: ˈN-EY.SH-AX-N
national: ˈN-AE-SH.AX-N.AX-L
natural: ˈN-AE-CH.AXR.AX-L
nature: ˈN-EY.CH-AXR
near: N-IH-R
nearly: ˈN-IH-R.L-IY
necessary: ˈN-EH-S.AX.S-EH-R.IY
need: N-IYːD
network: ˈN-EH-T.W-ERːK
never: ˈN-EH-V.AXR
new: N-UWː
news: N-UWːZ
newspaper: ˈN-UWːZˌP-EY.P-AXR
next: N-EH-K-S-T
nice: N-AY-S
night: N-AY-T
no: N-OW
none: N-AH-N
nor: N-AOːR
north: N-AOːR-TH
not: N-AAːT
note: N-OW-T
nothing: ˈN-AH-TH.IH-NG
notice: ˈN-OW.T-IH-S
now: N-AW
n't: --AX-N-T
number: ˈN-AH-M.B-AXR
occur: AXˈK-ERː
of: UW-S-W-EH-a-K- -/-AX-V
off: AAːF
offer: ˈAAː.F-AXR
office: ˈAAː.F-IH-S
officer: ˈAAː.F-IH.S-AXR
official: AXˈF-IH-SH.AX-L
often: ˈAAːF.AX-N
oh: OW
oil: OY-L
ok: ˌOWˈK-EY
old: OW-L-D
on: AAːN
once: W-AH-N-S
one: W-AH-N
only: ˈOW-N.L-IY
onto: ˈAAːN.T-UW
open: ˈOW.P-AX-N
operation: ˌAAː.P-AXˈR-EY.SH-AX-N
opportunity: ˌAAː.P-AXRˈT-UWː.N-AX.T-IY
option: ˈAAːP.SH-AX-N
or: AOːR
order: ˈAOːR.D-AXR
organization: ˌAOːR.G-AX-N.AXˈZ-EY.SH-AX-N
other: ˈAH-DH.AXR
others: ˈAH-DH-·-AX-R-Z
our: ˈAW.AXR
out: AW-T
outside: ˌAW-TˈS-AY-D
over: ˈOW.V-AXR
own: OW-N
owner: ˈOW.N-AXR
page: P-EY-JH
pain: P-EY-N
painting: ˈP-EY-N.T-IH-NG
paper: ˈP-EY.P-AXR
parent: ˈP-EH-R.AX-N-T
part: P-AAːR-T
participant: P-AAːRˈT-IH-S.AX.P-AX-N-T
particular: P-AXRˈT-IH-K.Y-AX.L-AXR
particularly: P-AXRˈT-IH-K.Y-AX.L-AXR.L-IY
partner: ˈP-AAːR-T.N-AXR
party: ˈP-AAːR.T-IY
pass: P-AE-S
past: P-AE-S-T
patient: ˈP-EY.SH-AX-N-T
pattern: ˈP-AE-T-̬.AXR-N
pay: P-EY
peace: P-IYːS
people: ˈP-IYː.P-AX-L
per: P-ERː
perform: P-AXRˈF-AOːR-M
performance: P-AXRˈF-AOːR.M-AX-N-S
perhaps: P-AXRˈHH-AE-P-S
period: ˈP-IH-R.IY.AX-D
person: ˈP-ERː.S-AX-N
personal: ˈP-ERː.S-AX-N.AX-L
phone: F-OW-N
physical: ˈF-IH-Z.IH.K-AX-L
pick: P-IH-K
picture: ˈP-IH-K.CH-AXR
piece: P-IYːS
place: P-L-EY-S
plan: P-L-AE-N
plant: P-L-AE-N-T
play: P-L-EY
player: ˈP-L-EY.AXR
PM: ˌP-IYːˈEH-M
point: P-OY-N-T
police: P-AXˈL-IYːS
policy: ˈP-AAː.L-AX.S-IY
political: P-AXˈL-IH-T-̬.AX.K-AX-L
politics: ˈP-AAː.L-AX.T-IH-K-S
poor: P-UH-R
popular: ˈP-AAː.P-Y-AX.L-AXR
population: ˌP-AAː.P-Y-AXˈL-EY.SH-AX-N
position: P-AXˈZ-IH-SH.AX-N
positive: ˈP-AAː.Z-AX.T-IH-V
possible: ˈP-AAː.S-AX.B-AX-L
power: ˈP-AW.AXR
practice: ˈP-R-AE-K.T-IH-S
prepare: P-R-IHˈP-EH-R
present: ˈP-R-EH-Z.AX-N-T
president: ˈP-R-EH-Z.IH.D-AX-N-T
pressure: ˈP-R-EH-SH.AXR
pretty: ˈP-R-IH-T-̬.IY
prevent: P-R-IHˈV-EH-N-T
price: P-R-AY-S
private: ˈP-R-AY.V-AX-T
probably: ˈP-R-AAː.B-AX.B-L-IY
problem: ˈP-R-AAː.B-L-AX-M
process: ˈP-R-AAː.S-EH-S
produce: P-R-AXˈD-UWːS
product: ˈP-R-AAː.D-AH-K-T
production: P-R-AXˈD-AH-K.SH-AX-N
professional: P-R-AXˈF-EH-SH.AX-N.AX-L
professor: P-R-AXˈF-EH-S.AXR
program: ˈP-R-OW.G-R-AE-M
project: ˈP-R-AAː.JH-EH-K-T
property: ˈP-R-AAː.P-AXR.T-IY
protect: P-R-AXˈT-EH-K-T
prove: P-R-UWːV
provide: P-R-AXˈV-AY-D
public: ˈP-AH-B.L-IH-K
pull: P-UH-L
purpose: ˈP-ERː.P-AX-S
push: P-UH-SH
put: P-UH-T
quality: ˈK-W-AAː.L-AX.T-IY
question: ˈK-W-EH-S.CH-AX-N
quickly: ˈK-W-IH-K.L-IY
quite: K-W-AY-T
race: R-EY-S
radio: ˈR-EY.D-IY.OW
raise: R-EY-Z
range: R-EY-N-JH
rate: R-EY-T
rather: ˈR-AE-DH.AXR
reach: R-IYːCH
read: R-IYːD
ready: ˈR-EH-D.IY
real: ˈR-IYː.AX-L
reality: R-IYˈAE-L.AX.T-IY
realize: ˈR-IYː.AX.L-AY-Z
really: ˈR-IYː.AX.L-IY
reason: ˈR-IYː.Z-AX-N
receive: R-IHˈS-IYːV
recent: ˈR-IYː.S-AX-N-T
recently: ˈR-IYː.S-AX-N-T.L-IY
recognize: ˈR-EH-K.AX-G.N-AY-Z
record: R-IHˈK-AOːR-D
red: R-EH-D
reduce: R-IHˈD-UWːS
reflect: R-IHˈF-L-EH-K-T
region: ˈR-IYː.JH-AX-N
relate: R-IHˈL-EY-T
relationship: R-IHˈL-EY.SH-AX-N.SH-IH-P
religious: Y-o-UW-R- -B-R-o-W-S-EH-R- -D-o-EH-S-N-'-T- -S-UW-P-P-o-R-T- -H-T-M-L-5- -a-UW-D-IY-o
remain: R-IHˈM-EY-N
remember: R-IHˈM-EH-M.B-AXR
remove: R-IHˈM-UWːV
report: R-IHˈP-AOːR-T
represent: ˌR-EH-P.R-IHˈZ-EH-N-T
Republican: R-AXˈP-AH-B.L-IH.K-AX-N
require: R-IHˈK-W-AY-R
research: ˈR-IYː.S-ERːCH
resource: ˈR-IYː.S-AOːR-S
respond: R-IHˈS-P-AAːN-D
response: R-IHˈS-P-AAːN-S
responsibility: R-IHˌS-P-AAːN.S-AXˈB-IH-L.AX.T-IY
rest: R-EH-S-T
result: R-IHˈZ-AH-L-T
return: R-IHˈT-ERːN
reveal: R-IHˈV-IYːL
rich: R-IH-CH
right: R-AY-T
rise: R-AY-Z
risk: R-IH-S-K
road: R-OW-D
rock: R-AAːK
role: R-OW-L
room: R-UWːM
rule: R-UWːL
run: R-AH-N
safe: S-EY-F
same: S-EY-M
save: S-EY-V
say: S-EY
scene: S-IYːN
school: S-K-UWːL
science: ˈS-AY.AX-N-S
scientist: ˈS-AY-AX-N.T-IH-S-T
score: S-K-AOːR
sea: S-IYː
season: ˈS-IYː.Z-AX-N
seat: S-IYːT
second: ˈS-EH-K.AX-N-D
section: ˈS-EH-K.SH-AX-N
security: S-AXˈK-Y-UH-R.AX.T-IY
see: S-IYː
seek: S-IYːK
seem: S-IYːM
sell: S-EH-L
send: S-EH-N-D
senior: ˈS-IYː.N-Y-AXR
sense: S-EH-N-S
series: ˈS-IH-R.IYːZ
serious: ˈS-IH-R.IY.AX-S
serve: S-ERːV
service: ˈS-ERː.V-IH-S
set: S-EH-T
seven: ˈS-EH-V.AX-N
several: ˈS-EH-V.AXR.AX-L
sex: S-EH-K-S
sexual: ˈS-EH-K.SH-UW.AX-L
shake: SH-EY-K
share: SH-EH-R
she: SH-IYː
shoot: SH-UWːT
short: SH-AOːR-T
shot: SH-AAːT
should: SH-UH-D
shoulder: ˈSH-OW-L.D-AXR
show: SH-OW
side: S-AY-D
sign: S-AY-N
significant: S-IH-GˈN-IH-F.AX.K-AX-N-T
similar: ˈS-IH-M.AX.L-AXR
simple: ˈS-IH-M.P-AX-L
simply: ˈS-IH-M.P-L-IY
since: S-IH-N-S
sing: S-IH-NG
single: ˈS-IH-NG.G-AX-L
sister: ˈS-IH-S.T-AXR
sit: S-IH-T
site: S-AY-T
situation: ˌS-IH-CH.UWˈEY.SH-AX-N
six: S-IH-K-S
size: S-AY-Z
skill: S-K-IH-L
skin: S-K-IH-N
small: S-M-AAːL
smile: S-M-AY-L
so: S-OW
social: ˈS-OW.SH-AX-L
society: S-AXˈS-AY.AX.T-IY
soldier: ˈS-OW-L.JH-AXR
some: S-AH-M
somebody: ˈS-AH-MˌB-AAː.D-IY
someone: ˈS-AH-M.W-AH-N
something: ˈS-AH-M.TH-IH-NG
sometimes: ˈS-AH-M.T-AY-M-Z
son: S-AH-N
song: S-AAːNG
soon: S-UWːN
sort: S-AOːR-T
sound: S-AW-N-D
source: S-AOːR-S
south: S-AW-TH
southern: ˈS-AH-DH.AXR-N
space: S-P-EY-S
speak: S-P-IYːK
special: ˈS-P-EH-SH.AX-L
specific: S-P-AXˈS-IH-F.IH-K
speech: S-P-IYːCH
spend: S-P-EH-N-D
sport: S-P-AOːR-T
spring: S-P-R-IH-NG
staff: S-T-AE-F
stage: S-T-EY-JH
stand: S-T-AE-N-D
standard: ˈS-T-AE-N.D-AXR-D
star: S-T-AAːR
start: S-T-AAːR-T
state: S-T-EY-T
statement: ˈS-T-EY-T.M-AX-N-T
station: ˈS-T-EY.SH-AX-N
stay: S-T-EY
step: S-T-EH-P
still: S-T-IH-L
stock: S-T-AAːK
stop: S-T-AAːP
store: S-T-AOːR
story: ˈS-T-AOːR.IY
strategy: ˈS-T-R-AE-T-̬.AX.JH-IY
street: S-T-R-IYːT
strong: S-T-R-AAːNG
structure: ˈS-T-R-AH-K.CH-AXR
student: ˈS-T-UWː.D-AX-N-T
study: ˈS-T-AH-D.IY
stuff: S-T-AH-F
style: S-T-AY-L
subject: ˈS-AH-B.JH-EH-K-T
success: S-AX-KˈS-EH-S
successful: S-AX-KˈS-EH-S.F-AX-L
such: S-AH-CH
suddenly: ˈS-AH-D.AX-N.L-IY
suffer: ˈS-AH-F.AXR
suggest: S-AXˈJH-EH-S-T
summer: ˈS-AH-M.AXR
support: S-AXˈP-AOːR-T
sure: SH-UH-R
surface: ˈS-ERː
system: ˈS-IH-S.T-AX-M
table: ˈT-EY.B-AX-L
take: T-EY-K
talk: T-AAːK
task: T-AE-S-K
tax: T-AE-K-S
teach: T-IYːCH
teacher: ˈT-IYː.CH-AXR
team: T-IYːM
technology: T-EH-KˈN-AAː.L-AX.JH-IY
television: ˈT-EH-L.AX.V-IH-ZH.AX-N
tell: T-EH-L
ten: T-EH-N
tend: T-EH-N-D
term: T-ERːM
test: T-EH-S-T
than: DH-AE-N
thank: TH-AE-NG-K
that: DH-AE-T
the: DH-IYː
their: DH-EH-R
them: DH-EH-M
themselves: DH-AX-MˈS-EH-L-V-Z
then: DH-EH-N
theory: ˈTH-IH-R.IY
