a: EY
consumer: KAXNˈSUWː.MAXR
contain: KAXNˈTEYN
continue: KAXNˈTIHN.YUWː
control: KAXNˈTROWL
cost: KAAːST
could: KUHD
country: ˈKAHN.TRIY
couple: ˈKAHP.AXL
course: KAOːRS
court: UWS/KAOːRT
cover: ˈKAHV.AXR
create: KRIYˈEYT
crime: KRAYM
cultural: ˈKAHL.CHAXR.AXL
culture: ˈKAHL.CHAXR
cup: KAHP
current: ˈKERː.AXNT
customer: ˈKAHS.TAX.MAXR
cut: KAHT
dark: DAAːRK
data: ˈDEY.T̬AX
daughter: ˈDAAː.T̬AXR
day: DEY
dead: DEHD
deal: DIYːL
death: DEHTH
debate: DIHˈBEYT
decade: ˈDEHK.EYD
decide: DIHˈSAYD
decision: DIHˈSIHZH.AXN
deep: DIYːP
defense: DIHˈFEHNS
degree: DIHˈGRIYː
Democrat: ˈDEHM.AX.KRAET
democratic: ˌDEHM.AXˈKRAET̬.IHK
describe: DIHˈSKRAYB
design: DIHˈZAYN
despite: DIHˈSPAYT
detail: DIHˈTEYL
determine: DIHˈTERː.MIHN
develop: DIHˈVEHL.AXP
development: DIHˈVEHL.AXP.MAXNT
die: DAY
difference: ˈDIHF.AXR.AXNS
different: ˈDIHF.AXR.AXNT
difficult: ˈDIHF.AX.KAXLT
dinner: ˈDIHN.AXR
direction: DIHˈREHK.SHAXN
director: DAYˈREHK.TAXR
discover: DIHˈSKAHV.AXR
discuss: DIHˈSKAHS
discussion: DIHˈSKAHSH.AXN
disease: DIHˈZIYːZ
do: DAX
doctor: ˈDAAːK.TAXR
dog: DAAːG
door: DAOːR
down: DAWN
draw: DRAAː
dream: DRIYːM
drive: DRAYV
drop: DRAAːP
drug: DRAHG
during: ˈDUHR.IHNG
each: IYːCH
early: ˈERː.LIY
east: IYːST
easy: ˈIYː.ZIY
eat: IYːT
economic: ˌIYː.KAXˈNAAː.MIHK
economy: IYˈKAAː.NAX.MIY
edge: EHJH
education: ˌEHJH.AXˈKEY.SHAXN
effect: AXˈFEHKT
effort: ˈEHF.AXRT
eight: EYT
either: ˈIYː.DHAXR
election: IYˈLEHK.SHAXN
else: EHLS
employee: IHMˈPLOY.IYː
end: EHND
energy: ˈEHN.AXR.JHIY
enjoy: IHNˈJHOY
enough: AXˈNAHF
enter: ˈEHN.T̬AXR
entire: IHNˈTAYR
environment: IHNˈVAY.RAXN.MAXNT
environmental: IHNˌVAY.RAXNˈMEHN.T̬AXL
especially: IHˈSPEHSH.AXL.IY
establish: IHˈSTAEB.LIHSH
even: ˈIYː.VAXN
evening: ˈIYːV.NIHNG
event: IHˈVEHNT
ever: ˈEHV.AXR
every: ˈEHV.RIY
everybody: ˈEHV.RIYˌBAAː.DIY
everyone: ˈEHV.RIY.WAHN
everything: ˈEHV.RIY.THIHNG
evidence: ˈEHV.AX.DAXNS
exactly: IHGˈZAEKT.LIY
example: IHGˈZAEM.PAXL
executive: IHGˈZEHK.YAX.T̬IHV
exist: IHGˈZIHST
expect: IHKˈSPEHKT
experience: IHKˈSPIHR.IY.AXNS
expert: ˈEHK.SPERːT
explain: IHKˈSPLEYN
eye: AY
face: FEYS
fact: FAEKT
factor: ˈFAEK.TAXR
fail: FEYL
fall: FAAːL
family: ˈFAEM.AXL.IY
far: FAAːR
fast: FAEST
father: ˈFAAː.DHAXR
fear: FIHR
federal: ˈFEHD.AXR.AXL
feel: FIYːL
feeling: ˈFIYː.LIHNG
few: FYUWː
field: FIYːLD
fight: FAYT
figure: ˈFIHG.YAXR
fill: FIHL
film: FIHLM
final: ˈFAY.NAXL
finally: ˈFAY.NAXL.IY
financial: FAYˈNAEN.SHAXL
find: FAYND
fine: FAYN
finger: ˈFIHNG.GAXR
finish: ˈFIHN.IHSH
fire: FAYR
firm: FERːM
first: ˈFERːST
fish: FIHSH
five: FAYV
floor: FLAOːR
fly: FLAY
focus: ˈFOW.KAXS
follow: ˈFAAː.LOW
food: FUWːD
foot: FUHT
for: FAOːR
force: FAOːRS
foreign: ˈFAOːR.AXN
forget: FAXRˈGEHT
form: FAOːRM
former: ˈFAOːR.MAXR
forward: ˈFAOːR.WAXRD
four: FAOːR
free: FRIYː
friend: FREHND
from: FRAAːM
front: FRAHNT
full: FUHL
fund: FAHND
future: ˈFYUWː.CHAXR
game: GEYM
garden: ˈGAAːR.DAXN
gas: GAES
general: ˈJHEHN.AXR.AXL
generation: ˌJHEHN.AXˈREY.SHAXN
get: GEHT
girl: GERːL
give: GIHV
glass: GLAES
go: GOW
goal: GOWL
good: GUHD
government: ˈGAHV.AXRN.MAXNT
great: GREYT
green: GRIYːN
ground: GRAWND
group: GRUWːP
grow: GROW
growth: GROWTH
guess: GEHS
gun: GAHN
guy: GAY
hair: HHEHR
half: HHAEF
hand: HHAEND
hang: HHAENG
happen: ˈHHAEP.AXN
happy: ˈHHAEP.IY
hard: HHAAːRD
have: HHAEV
he: HHIYː
head: HHEHD
health: HHEHLTH
hear: HHIHR
heart: HHAAːRT
heat: HHIYːT
heavy: ˈHHEHV.IY
help: HHEHLP
her: HHERː
here: HHIHR
herself: HHERːˈSEHLF
high: HHAY
him: HHIHM
himself: HHIHMˈSEHLF
his: HHIHZ
history: ˈHHIHS.T̬AXR.IY
hit: HHIHT
hold: HHOWLD
home: HHOWM
hope: HHOWP
hospital: ˈHHAAː.SPIH.T̬AXL
hot: HHAAːT
hotel: HHOWˈTEHL
hour: AWR
house: HHAWS
how: HHAW
however: ˌHHAWˈEHV.AXR
huge: HHYUWːJH
human: ˈHHYUWː.MAXN
hundred: ˈHHAHN.DRAXD
husband: ˈHHAHZ.BAXND
I: AY
idea: AYˈDIYː.AX
identify: AYˈDEHN.T̬AX.FAY
if: IHF
image: ˈIHM.IHJH
imagine: IHˈMAEJH.IHN
impact: ˈIHM.PAEKT
important: IHMˈPAOːR.TAXNT
improve: IHMˈPRUWːV
in: IHN
include: IHNˈKLUWːD
including: IHNˈKLUWː.DIHNG
increase: IHNˈKRIYːS
indeed: IHNˈDIYːD
indicate: ˈIHN.DAX.KEYT
individual: ˌIHN.DAXˈVIHJH.UW.AXL
industry: ˈIHN.DAX.STRIY
information: ˌIHN.FAXRˈMEY.SHAXN
inside: ˈIHN.SAYD
instead: IHNˈSTEHD
institution: ˌIHN.STAXˈTUWː.SHAXN
interest: ˈIHN.TRIHST
interesting: ˈIHN.TRIH.STIHNG
international: ˌIHN.T̬AXRˈNAESH.AXN.AXL
interview: ˈIHN.T̬AXR.VYUWː
into: ˈIHN.TUWː
investment: IHNˈVEHST.MAXNT
involve: IHNˈVAAːLV
issue: ˈIHSH.UWː
it: IHT
item: ˈAY.T̬AXM
its: IHTS
itself: IHTˈSEHLF
job: JHAAːB
join: JHOYN
just: JHAHST
keep: KIYːP
key: KIYː
kid: KIHD
kill: KIHL
kind: KAYND
kitchen: ˈKIHCH.AXN
know: NOW
knowledge: ˈNAAː.LIHJH
land: LAEND
language: ˈLAENG.GWIHJH
large: LAAːRJH
last: LAEST
late: LEYT
later: ˈLEY.T̬AXR
laugh: LAEF
law: LAAː
lawyer: ˈLOY.YAXR
lay: LEY
lead: LIYːD
leader: ˈLIYː.DAXR
learn: LERːN
least: LIYːST
leave: LIYːV
left: LEHFT
leg: LEHG
legal: ˈLIYː.GAXL
less: LEHS
let: LEHT
letter: ˈLEHT̬.AXR
level: ˈLEHV.AXL
lie: LAY
life: LAYF
light: LAYT
like: LAYK
likely: ˈLAY.KLIY
line: LAYN
list: LIHST
listen: ˈLIHS.AXN
little: ˈLIHT̬.AXL
live: LIHV
local: ˈLOW.KAXL
long: LAAːNG
look: LUHK
lose: LUWːZ
loss: LAAːS
lot: LAAːT
love: LAHV
low: LOW
machine: MAXˈSHIYːN
magazine: ˌMAEG.AXˈZIYːN
main: MEYN
maintain: MEYNˈTEYN
major: ˈMEY.JHAXR
majority: MAXˈJHAOː.RAX.T̬IY
make: MEYK
man: MAEN
manage: ˈMAEN.AXJH
management: ˈMAEN.AXJH.MAXNT
manager: ˈMAEN.AX.JHAXR
many: ˈMEHN.IY
market: ˈMAAːR.KIHT
marriage: ˈMEHR.IHJH
material: MAXˈTIHR.IY.AXL
matter: ˈMAET̬.AXR
may: MEY
maybe: ˈMEY.BIY
me: MIYː
mean: MIYːN
measure: ˈMEHZH.AXR
media: ˈMIYː.DIY.AX
medical: ˈMEHD.IH.KAXL
meet: MIYːT
meeting: ˈMIYː.T̬IHNG
member: ˈMEHM.BAXR
memory: ˈMEHM.AXR.IY
mention: ˈMEHN.SHAXN
message: ˈMEHS.IHJH
method: ˈMEHTH.AXD
middle: ˈMIHD.AXL
might: MAYT
military: ˈMIHL.AX.TEHR.IY
million: ˈMIHL.YAXN
mind: MAYND
minute: ˈMIHN.IHT
miss: MIHS
mission: ˈMIHSH.AXN
model: ˈMAAː.DAXL
modern: ˈMAAː.DAXRN
moment: ˈMOW.MAXNT
money: ˈMAHN.IY
month: MAHNTH
more: MAOːR
morning: ˈMAOːR.NIHNG
most: MOWST
mother: ˈMAHDH.AXR
mouth: MAWTH
move: MUWːV
movement: ˈMUWːV.MAXNT
movie: ˈMUWː.VIY
Mr: ˈMIHS.TAXR
Mrs: ˈMIHS.IHZ
much: MAHCH
music: ˈMYUWː.ZIHK
must: MAHST
my: MAY
myself: MAYˈSEHLF
name: NEYM
nation: ˈNEY.SHAXN
national: ˈNAESH.AXN.AXL
natural: ˈNAECH.AXR.AXL
nature: ˈNEY.CHAXR
near: NIHR
nearly: ˈNIHR.LIY
necessary: ˈNEHS.AX.SEHR.IY
need: NIYːD
network: ˈNEHT.WERːK
never: ˈNEHV.AXR
new: NUWː
news: NUWːZ
newspaper: ˈNUWːZˌPEY.PAXR
next: NEHKST
nice: NAYS
night: NAYT
no: NOW
none: NAHN
nor: NAOːR
north: NAOːRTH
not: NAAːT
note: NOWT
nothing: ˈNAHTH.IHNG
notice: ˈNOW.T̬IHS
now: NAW
n't: -AXNT
number: ˈNAHM.BAXR
occur: AXˈKERː
of: UWSWEHaK /AXV
off: AAːF
offer: ˈAAː.FAXR
office: ˈAAː.FIHS
officer: ˈAAː.FIH.SAXR
official: AXˈFIHSH.AXL
often: ˈAAːF.AXN
oh: OW
oil: OYL
ok: ˌOWˈKEY
old: OWLD
on: AAːN
once: WAHNS
one: WAHN
only: ˈOWN.LIY
onto: ˈAAːN.TUW
open: ˈOW.PAXN
operation: ˌAAː.PAXˈREY.SHAXN
opportunity: ˌAAː.PAXRˈTUWː.NAX.T̬IY
option: ˈAAːP.SHAXN
or: AOːR
order: ˈAOːR.DAXR
organization: ˌAOːR.GAXN.AXˈZEY.SHAXN
other: ˈAHDH.AXR
others: ˈAHDH·AXRZ
our: ˈAW.AXR
out: AWT
outside: ˌAWTˈSAYD
over: ˈOW.VAXR
own: OWN
owner: ˈOW.NAXR
page: PEYJH
pain: PEYN
painting: ˈPEYN.T̬IHNG
paper: ˈPEY.PAXR
parent: ˈPEHR.AXNT
part: PAAːRT
participant: PAAːRˈTIHS.AX.PAXNT
particular: PAXRˈTIHK.YAX.LAXR
particularly: PAXRˈTIHK.YAX.LAXR.LIY
partner: ˈPAAːRT.NAXR
party: ˈPAAːR.T̬IY
pass: PAES
past: PAEST
patient: ˈPEY.SHAXNT
pattern: ˈPAET̬.AXRN
pay: PEY
peace: PIYːS
people: ˈPIYː.PAXL
per: PERː
perform: PAXRˈFAOːRM
performance: PAXRˈFAOːR.MAXNS
perhaps: PAXRˈHHAEPS
period: ˈPIHR.IY.AXD
person: ˈPERː.SAXN
personal: ˈPERː.SAXN.AXL
phone: FOWN
physical: ˈFIHZ.IH.KAXL
pick: PIHK
picture: ˈPIHK.CHAXR
piece: PIYːS
place: PLEYS
plan: PLAEN
plant: PLAENT
play: PLEY
player: ˈPLEY.AXR
PM: ˌPIYːˈEHM
point: POYNT
police: PAXˈLIYːS
policy: ˈPAAː.LAX.SIY
political: PAXˈLIHT̬.AX.KAXL
politics: ˈPAAː.LAX.TIHKS
poor: PUHR
popular: ˈPAAː.PYAX.LAXR
population: ˌPAAː.PYAXˈLEY.SHAXN
position: PAXˈZIHSH.AXN
positive: ˈPAAː.ZAX.T̬IHV
possible: ˈPAAː.SAX.BAXL
power: ˈPAW.AXR
practice: ˈPRAEK.TIHS
prepare: PRIHˈPEHR
present: ˈPREHZ.AXNT
president: ˈPREHZ.IH.DAXNT
pressure: ˈPREHSH.AXR
pretty: ˈPRIHT̬.IY
prevent: PRIHˈVEHNT
price: PRAYS
private: ˈPRAY.VAXT
probably: ˈPRAAː.BAX.BLIY
problem: ˈPRAAː.BLAXM
process: ˈPRAAː.SEHS
produce: PRAXˈDUWːS
product: ˈPRAAː.DAHKT
production: PRAXˈDAHK.SHAXN
professional: PRAXˈFEHSH.AXN.AXL
professor: PRAXˈFEHS.AXR
program: ˈPROW.GRAEM
project: ˈPRAAː.JHEHKT
property: ˈPRAAː.PAXR.T̬IY
protect: PRAXˈTEHKT
prove: PRUWːV
provide: PRAXˈVAYD
public: ˈPAHB.LIHK
pull: PUHL
purpose: ˈPERː.PAXS
push: PUHSH
put: PUHT
quality: ˈKWAAː.LAX.T̬IY
question: ˈKWEHS.CHAXN
quickly: ˈKWIHK.LIY
quite: KWAYT
race: REYS
radio: ˈREY.DIY.OW
raise: REYZ
range: REYNJH
rate: REYT
rather: ˈRAEDH.AXR
reach: RIYːCH
read: RIYːD
ready: ˈREHD.IY
real: ˈRIYː.AXL
reality: RIYˈAEL.AX.T̬IY
realize: ˈRIYː.AX.LAYZ
really: ˈRIYː.AX.LIY
reason: ˈRIYː.ZAXN
receive: RIHˈSIYːV
recent: ˈRIYː.SAXNT
recently: ˈRIYː.SAXNT.LIY
recognize: ˈREHK.AXG.NAYZ
record: RIHˈKAOːRD
red: REHD
reduce: RIHˈDUWːS
reflect: RIHˈFLEHKT
region: ˈRIYː.JHAXN
relate: RIHˈLEYT
relationship: RIHˈLEY.SHAXN.SHIHP
religious: YoUWR BRoWSEHR DoEHSN'T SUWPPoRT HTML5 aUWDIYo
remain: RIHˈMEYN
remember: RIHˈMEHM.BAXR
remove: RIHˈMUWːV
report: RIHˈPAOːRT
represent: ˌREHP.RIHˈZEHNT
Republican: RAXˈPAHB.LIH.KAXN
require: RIHˈKWAYR
research: ˈRIYː.SERːCH
resource: ˈRIYː.SAOːRS
respond: RIHˈSPAAːND
response: RIHˈSPAAːNS
responsibility: RIHˌSPAAːN.SAXˈBIHL.AX.T̬IY
rest: REHST
result: RIHˈZAHLT
return: RIHˈTERːN
reveal: RIHˈVIYːL
rich: RIHCH
right: RAYT
rise: RAYZ
risk: RIHSK
road: ROWD
rock: RAAːK
role: ROWL
room: RUWːM
rule: RUWːL
run: RAHN
safe: SEYF
same: SEYM
save: SEYV
say: SEY
scene: SIYːN
school: SKUWːL
science: ˈSAY.AXNS
scientist: ˈSAYAXN.TIHST
score: SKAOːR
sea: SIYː
season: ˈSIYː.ZAXN
seat: SIYːT
second: ˈSEHK.AXND
section: ˈSEHK.SHAXN
security: SAXˈKYUHR.AX.T̬IY
see: SIYː
seek: SIYːK
seem: SIYːM
sell: SEHL
send: SEHND
senior: ˈSIYː.NYAXR
sense: SEHNS
series: ˈSIHR.IYːZ
serious: ˈSIHR.IY.AXS
serve: SERːV
service: ˈSERː.VIHS
set: SEHT
seven: ˈSEHV.AXN
several: ˈSEHV.AXR.AXL
sex: SEHKS
sexual: ˈSEHK.SHUW.AXL
shake: SHEYK
share: SHEHR
she: SHIYː
shoot: SHUWːT
short: SHAOːRT
shot: SHAAːT
should: SHUHD
shoulder: ˈSHOWL.DAXR
show: SHOW
side: SAYD
sign: SAYN
significant: SIHGˈNIHF.AX.KAXNT
similar: ˈSIHM.AX.LAXR
simple: ˈSIHM.PAXL
simply: ˈSIHM.PLIY
since: SIHNS
sing: SIHNG
single: ˈSIHNG.GAXL
sister: ˈSIHS.TAXR
sit: SIHT
site: SAYT
situation: ˌSIHCH.UWˈEY.SHAXN
six: SIHKS
size: SAYZ
skill: SKIHL
skin: SKIHN
small: SMAAːL
smile: SMAYL
so: SOW
social: ˈSOW.SHAXL
society: SAXˈSAY.AX.T̬IY
soldier: ˈSOWL.JHAXR
some: SAHM
somebody: ˈSAHMˌBAAː.DIY
someone: ˈSAHM.WAHN
something: ˈSAHM.THIHNG
sometimes: ˈSAHM.TAYMZ
son: SAHN
song: SAAːNG
soon: SUWːN
sort: SAOːRT
sound: SAWND
source: SAOːRS
south: SAWTH
southern: ˈSAHDH.AXRN
space: SPEYS
speak: SPIYːK
special: ˈSPEHSH.AXL
specific: SPAXˈSIHF.IHK
speech: SPIYːCH
spend: SPEHND
sport: SPAOːRT
spring: SPRIHNG
staff: STAEF
stage: STEYJH
stand: STAEND
standard: ˈSTAEN.DAXRD
star: STAAːR
start: STAAːRT
state: STEYT
statement: ˈSTEYT.MAXNT
station: ˈSTEY.SHAXN
stay: STEY
step: STEHP
still: STIHL
stock: STAAːK
stop: STAAːP
store: STAOːR
story: ˈSTAOːR.IY
strategy: ˈSTRAET̬.AX.JHIY
street: STRIYːT
strong: STRAAːNG
structure: ˈSTRAHK.CHAXR
student: ˈSTUWː.DAXNT
study: ˈSTAHD.IY
stuff: STAHF
style: STAYL
subject: ˈSAHB.JHEHKT
success: SAXKˈSEHS
successful: SAXKˈSEHS.FAXL
such: SAHCH
suddenly: ˈSAHD.AXN.LIY
suffer: ˈSAHF.AXR
suggest: SAXˈJHEHST
summer: ˈSAHM.AXR
support: SAXˈPAOːRT
sure: SHUHR
surface: ˈSERː-
system: ˈSIHS.TAXM
table: ˈTEY.BAXL
take: TEYK
talk: TAAːK
task: TAESK
tax: TAEKS
teach: TIYːCH
teacher: ˈTIYː.CHAXR
team: TIYːM
technology: TEHKˈNAAː.LAX.JHIY
television: ˈTEHL.AX.VIHZH.AXN
tell: TEHL
ten: TEHN
tend: TEHND
term: TERːM
test: TEHST
than: DHAEN
thank: THAENGK
that: DHAET
the: DHIYː
their: DHEHR
them: DHEHM
themselves: DHAXMˈSEHLVZ
then: DHEHN
theory: ˈTHIHR.IY
there: DHEHR
these: DHIYːZ
they: DHEY
thing: THIHNG
think: THIHNGK
third: THERːD
this: DHIHS
those: DHOWZ
though: DHOW
thought: THAAːT
thousand: ˈTHAW.ZAXND
threat: THREHT
three: THRIYː
through: THRUWː
throughout: THRUWːˈAWT
throw: THROW
thus: DHAHS
time: TAYM
to: TUWː
today: TAXˈDEY
together: TAXˈGEHDH.AXR
tonight: TAXˈNAYT
too: TUWː
top: TAAːP
total: ˈTOW.T̬AXL
tough: TAHF
toward: TAOːRD
town: TAWN
trade: TREYD
traditional: TRAXˈDIHSH.AXN.AXL
training: ˈTREY.NIHNG
travel: ˈTRAEV.AXL
treat: TRIYːT
treatment: ˈTRIYːT.MAXNT
tree: TRIYː
trial: TRAYAXL
trip: TRIHP
trouble: ˈTRAHB.AXL
true: TRUWː
truth: TRUWːTH
try: TRAY
turn: TERːN
TV: ˌTIYːˈVIYː
two: TUWː
type: TAYP
under: ˈAHN.DAXR
understand: ˌAHN.DAXRˈSTAEND
unit: ˈYUWː.NIHT
until: AXNˈTIHL
up: AHP
upon: AXˈPAAːN
us: AHS
use: YUWːZ
usually: ˈYUWː.ZHUW.AX.LIY
value: ˈVAEL.YUWː
various: ˈVEHR.IY.AXS
very: ˈVEHR.IY
victim: ˈVIHK.TAXM
view: VYUWː
violence: ˈVAYAX.LAXNS
visit: ˈVIHZ.IHT
voice: VOYS
vote: VOWT
wait: WEYT
walk: WAAːK
wall: WAAːL
want: WAAːNT
war: WAOːR
watch: WAAːCH
water: ˈWAAː.T̬AXR
way: WEY
we: WIYː
weapon: ˈWEHP.AXN
wear: WEHR
week: WIYːK
weight: WEYT
well: WEHL
west: WEHST
western: ˈWEHS.TAXRN
what: WAAːT
whatever: WAAːˈT̬EHV.AXR
when: WEHN
where: WEHR
whether: ˈWEHDH.AXR
which: WIHCH
while: WAYL
white: WAYT
who: HHUWː
whole: HHOWL
whom: HHUWːM
whose: HHUWːZ
why: WAY
wide: WAYD
wife: WAYF
will: WIHL
win: WIHN
wind: WIHND
window: ˈWIHN.DOW
wish: WIHSH
with: WIHDH
within: WIHˈDHIHN
without: WIHˈDHAWT
woman: ˈWUHM.AXN
wonder: ˈWAHN.DAXR
word: WERːD
work: WERːK
worker: ˈWERː.KAXR
world: WERːLD
worry: ˈWERː.IY
would: WUHD
write: RAYT
writer: ˈRAY.T̬AXR
wrong: RAAːNG
yard: YAAːRD
yeah: YEHAX
year: YIHR
yes: YEHS
yet: YEHT
you: YUWː
young: YAHNG
your: YUHR
yourself: YUHRˈSEHLF
