a: /eɪ/
current: /ˈkɝː.ənt/
customer: /ˈkʌs.tə.mɚ/
cut: /kʌt/
dark: /dɑːrk/
data: /ˈdeɪ.t̬ə/
daughter: /ˈdɑː.t̬ɚ/
day: /deɪ/
dead: /ded/
deal: /diːl/
death: /deθ/
debate: /dɪˈbeɪt/
decade: /ˈdek.eɪd/
decide: /dɪˈsaɪd/
decision: /dɪˈsɪʒ.ən/
deep: /diːp/
defense: /dɪˈfens/
degree: /dɪˈɡriː/
Democrat: /ˈdem.ə.kræt/
democratic: /ˌdem.əˈkræt̬.ɪk/
describe: /dɪˈskraɪb/
design: /dɪˈzaɪn/
despite: /dɪˈspaɪt/
detail: /dɪˈteɪl/
determine: /dɪˈtɝː.mɪn/
develop: /dɪˈvel.əp/
development: /dɪˈvel.əp.mənt/
die: /daɪ/
difference: /ˈdɪf.ɚ.əns/
different: /ˈdɪf.ɚ.ənt/
difficult: /ˈdɪf.ə.kəlt/
dinner: /ˈdɪn.ɚ/
direction: /dɪˈrek.ʃən/
director: /daɪˈrek.tɚ/
discover: /dɪˈskʌv.ɚ/
discuss: /dɪˈskʌs/
discussion: /dɪˈskʌʃ.ən/
disease: /dɪˈziːz/
do: /də/
doctor: /ˈdɑːk.tɚ/
dog: /dɑːɡ/
door: /dɔːr/
down: /daʊn/
draw: /drɑː/
dream: /driːm/
drive: /draɪv/
drop: /drɑːp/
drug: /drʌɡ/
during: /ˈdʊr.ɪŋ/
each: /iːtʃ/
early: /ˈɝː.li/
east: /iːst/
easy: /ˈiː.zi/
eat: /iːt/
economic: /ˌiː.kəˈnɑː.mɪk/
economy: /iˈkɑː.nə.mi/
edge: /edʒ/
education: /ˌedʒ.əˈkeɪ.ʃən/
effect: /əˈfekt/
effort: /ˈef.ɚt/
eight: /eɪt/
either: /ˈiː.ðɚ/
election: /iˈlek.ʃən/
else: /els/
employee: /ɪmˈplɔɪ.iː/
end: /end/
energy: /ˈen.ɚ.dʒi/
enjoy: /ɪnˈdʒɔɪ/
enough: /əˈnʌf/
enter: /ˈen.t̬ɚ/
entire: /ɪnˈtaɪr/
environment: /ɪnˈvaɪ.rən.mənt/
environmental: /ɪnˌvaɪ.rənˈmen.t̬əl/
especially: /ɪˈspeʃ.əl.i/
establish: /ɪˈstæb.lɪʃ/
even: /ˈiː.vən/
evening: /ˈiːv.nɪŋ/
event: /ɪˈvent/
ever: /ˈev.ɚ/
every: /ˈev.ri/
everybody: /ˈev.riˌbɑː.di/
everyone: /ˈev.ri.wʌn/
everything: /ˈev.ri.θɪŋ/
evidence: /ˈev.ə.dəns/
exactly: /ɪɡˈzækt.li/
example: /ɪɡˈzæm.pəl/
executive: /ɪɡˈzek.jə.t̬ɪv/
exist: /ɪɡˈzɪst/
expect: /ɪkˈspekt/
experience: /ɪkˈspɪr.i.əns/
expert: /ˈek.spɝːt/
explain: /ɪkˈspleɪn/
eye: /aɪ/
face: /feɪs/
fact: /fækt/
factor: /ˈfæk.tɚ/
fail: /feɪl/
fall: /fɑːl/
family: /ˈfæm.əl.i/
far: /fɑːr/
fast: /fæst/
father: /ˈfɑː.ðɚ/
fear: /fɪr/
federal: /ˈfed.ɚ.əl/
feel: /fiːl/
feeling: /ˈfiː.lɪŋ/
few: /fjuː/
field: /fiːld/
fight: /faɪt/
figure: /ˈfɪɡ.jɚ/
fill: /fɪl/
film: /fɪlm/
final: /ˈfaɪ.nəl/
finally: /ˈfaɪ.nəl.i/
financial: /faɪˈnæn.ʃəl/
find: /faɪnd/
fine: /faɪn/
finger: /ˈfɪŋ.ɡɚ/
finish: /ˈfɪn.ɪʃ/
fire: /faɪr/
firm: /fɝːm/
first: /ˈfɝːst/
fish: /fɪʃ/
five: /faɪv/
floor: /flɔːr/
fly: /flaɪ/
focus: /ˈfoʊ.kəs/
follow: /ˈfɑː.loʊ/
food: /fuːd/
foot: /fʊt/
for: /fɔːr/
force: /fɔːrs/
foreign: /ˈfɔːr.ən/
forget: /fɚˈɡet/
form: /fɔːrm/
former: /ˈfɔːr.mɚ/
forward: /ˈfɔːr.wɚd/
four: /fɔːr/
free: /friː/
friend: /frend/
from: /frɑːm/
front: /frʌnt/
full: /fʊl/
fund: /fʌnd/
future: /ˈfjuː.tʃɚ/
game: /ɡeɪm/
garden: /ˈɡɑːr.dən/
gas: /ɡæs/
general: /ˈdʒen.ər.əl/
generation: /ˌdʒen.əˈreɪ.ʃən/
get: /ɡet/
girl: /ɡɝːl/
give: /ɡɪv/
glass: /ɡlæs/
go: /ɡoʊ/
goal: /ɡoʊl/
good: /ɡʊd/
government: /ˈɡʌv.ɚn.mənt/
great: /ɡreɪt/
green: /ɡriːn/
ground: /ɡraʊnd/
group: /ɡruːp/
grow: /ɡroʊ/
growth: /ɡroʊθ/
guess: /ɡes/
gun: /ɡʌn/
guy: /ɡaɪ/
hair: /her/
half: /hæf/
hand: /hænd/
hang: /hæŋ/
happen: /ˈhæp.ən/
happy: /ˈhæp.i/
hard: /hɑːrd/
have: /hæv/
he: /hiː/
head: /hed/
health: /helθ/
hear: /hɪr/
heart: /hɑːrt/
heat: /hiːt/
heavy: /ˈhev.i/
help: /help/
her: /hɝː/
here: /hɪr/
herself: /hɝːˈself/
high: /haɪ/
him: /hɪm/
himself: /hɪmˈself/
his: /hɪz/
history: /ˈhɪs.t̬ɚ.i/
hit: /hɪt/
hold: /hoʊld/
home: /hoʊm/
hope: /hoʊp/
hospital: /ˈhɑː.spɪ.t̬əl/
hot: /hɑːt/
hotel: /hoʊˈtel/
hour: /aʊr/
house: /haʊs/
how: /haʊ/
however: /ˌhaʊˈev.ɚ/
huge: /hjuːdʒ/
human: /ˈhjuː.mən/
hundred: /ˈhʌn.drəd/
husband: /ˈhʌz.bənd/
I: /aɪ/
idea: /aɪˈdiː.ə/
identify: /aɪˈden.t̬ə.faɪ/
if: /ɪf/
image: /ˈɪm.ɪdʒ/
imagine: /ɪˈmædʒ.ɪn/
impact: /ˈɪm.pækt/
important: /ɪmˈpɔːr.tənt/
improve: /ɪmˈpruːv/
in: /ɪn/
include: /ɪnˈkluːd/
including: /ɪnˈkluː.dɪŋ/
increase: /ɪnˈkriːs/
indeed: /ɪnˈdiːd/
indicate: /ˈɪn.də.keɪt/
individual: /ˌɪn.dəˈvɪdʒ.u.əl/
industry: /ˈɪn.də.stri/
information: /ˌɪn.fɚˈmeɪ.ʃən/
inside: /ˈɪn.saɪd/
instead: /ɪnˈsted/
institution: /ˌɪn.stəˈtuː.ʃən/
interest: /ˈɪn.trɪst/
interesting: /ˈɪn.trɪ.stɪŋ/
international: /ˌɪn.t̬ɚˈnæʃ.ən.əl/
interview: /ˈɪn.t̬ɚ.vjuː/
into: /ˈɪn.tuː/
investment: /ɪnˈvest.mənt/
involve: /ɪnˈvɑːlv/
issue: /ˈɪʃ.uː/
it: /ɪt/
item: /ˈaɪ.t̬əm/
its: /ɪts/
itself: /ɪtˈself/
job: /dʒɑːb/
join: /dʒɔɪn/
just: /dʒʌst/
keep: /kiːp/
key: /kiː/
kid: /kɪd/
kill: /kɪl/
kind: /kaɪnd/
kitchen: /ˈkɪtʃ.ən/
know: /noʊ/
knowledge: /ˈnɑː.lɪdʒ/
land: /lænd/
language: /ˈlæŋ.ɡwɪdʒ/
large: /lɑːrdʒ/
last: /læst/
late: /leɪt/
later: /ˈleɪ.t̬ɚ/
laugh: /læf/
law: /lɑː/
lawyer: /ˈlɔɪ.jɚ/
lay: /leɪ/
lead: /liːd/
leader: /ˈliː.dɚ/
learn: /lɝːn/
least: /liːst/
leave: /liːv/
left: /left/
leg: /leɡ/
legal: /ˈliː.ɡəl/
less: /les/
let: /let/
letter: /ˈlet̬.ɚ/
level: /ˈlev.əl/
lie: /laɪ/
life: /laɪf/
light: /laɪt/
like: /laɪk/
likely: /ˈlaɪ.kli/
line: /laɪn/
list: /lɪst/
listen: /ˈlɪs.ən/
little: /ˈlɪt̬.əl/
live: /lɪv/
local: /ˈloʊ.kəl/
long: /lɑːŋ/
look: /lʊk/
lose: /luːz/
loss: /lɑːs/
lot: /lɑːt/
love: /lʌv/
low: /loʊ/
machine: /məˈʃiːn/
magazine: /ˌmæɡ.əˈziːn/
main: /meɪn/
maintain: /meɪnˈteɪn/
major: /ˈmeɪ.dʒɚ/
majority: /məˈdʒɔː.rə.t̬i/
make: /meɪk/
man: /mæn/
manage: /ˈmæn.ədʒ/
management: /ˈmæn.ədʒ.mənt/
manager: /ˈmæn.ə.dʒɚ/
many: /ˈmen.i/
market: /ˈmɑːr.kɪt/
marriage: /ˈmer.ɪdʒ/
material: /məˈtɪr.i.əl/
matter: /ˈmæt̬.ɚ/
may: /meɪ/
maybe: /ˈmeɪ.bi/
me: /miː/
mean: /miːn/
measure: /ˈmeʒ.ɚ/
media: /ˈmiː.di.ə/
medical: /ˈmed.ɪ.kəl/
meet: /miːt/
meeting: /ˈmiː.t̬ɪŋ/
member: /ˈmem.bɚ/
memory: /ˈmem.ər.i/
mention: /ˈmen.ʃən/
message: /ˈmes.ɪdʒ/
method: /ˈmeθ.əd/
middle: /ˈmɪd.əl/
might: /maɪt/
military: /ˈmɪl.ə.ter.i/
million: /ˈmɪl.jən/
mind: /maɪnd/
minute: /ˈmɪn.ɪt/
miss: /mɪs/
mission: /ˈmɪʃ.ən/
model: /ˈmɑː.dəl/
modern: /ˈmɑː.dɚn/
moment: /ˈmoʊ.mənt/
money: /ˈmʌn.i/
month: /mʌnθ/
more: /mɔːr/
morning: /ˈmɔːr.nɪŋ/
most: /moʊst/
mother: /ˈmʌð.ɚ/
mouth: /maʊθ/
move: /muːv/
movement: /ˈmuːv.mənt/
movie: /ˈmuː.vi/
Mr: /ˈmɪs.tɚ/
Mrs: /ˈmɪs.ɪz/
much: /mʌtʃ/
music: /ˈmjuː.zɪk/
must: /mʌst/
my: /maɪ/
myself: /maɪˈself/
name: /neɪm/
nation: /ˈneɪ.ʃən/
national: /ˈnæʃ.ən.əl/
natural: /ˈnætʃ.ɚ.əl/
nature: /ˈneɪ.tʃɚ/
near: /nɪr/
nearly: /ˈnɪr.li/
necessary: /ˈnes.ə.ser.i/
need: /niːd/
network: /ˈnet.wɝːk/
never: /ˈnev.ɚ/
new: /nuː/
news: /nuːz/
newspaper: /ˈnuːzˌpeɪ.pɚ/
next: /nekst/
nice: /naɪs/
night: /naɪt/
no: /noʊ/
none: /nʌn/
nor: /nɔːr/
north: /nɔːrθ/
not: /nɑːt/
note: /noʊt/
nothing: /ˈnʌθ.ɪŋ/
notice: /ˈnoʊ.t̬ɪs/
now: /naʊ/
n't: / -ənt/
number: /ˈnʌm.bɚ/
occur: /əˈkɝː/
of: usweak /əv/
off: /ɑːf/
offer: /ˈɑː.fɚ/
office: /ˈɑː.fɪs/
officer: /ˈɑː.fɪ.sɚ/
official: /əˈfɪʃ.əl/
often: /ˈɑːf.ən/
oh: /oʊ/
oil: /ɔɪl/
ok: /ˌoʊˈkeɪ/
old: /oʊld/
on: /ɑːn/
once: /wʌns/
one: /wʌn/
only: /ˈoʊn.li/
onto: /ˈɑːn.tu/
open: /ˈoʊ.pən/
operation: /ˌɑː.pəˈreɪ.ʃən/
opportunity: /ˌɑː.pɚˈtuː.nə.t̬i/
option: /ˈɑːp.ʃən/
or: /ɔːr/
order: /ˈɔːr.dɚ/
organization: /ˌɔːr.ɡən.əˈzeɪ.ʃən/
other: /ˈʌð.ɚ/
others: /ˈʌð·ərz/
our: /ˈaʊ.ɚ/
out: /aʊt/
outside: /ˌaʊtˈsaɪd/
over: /ˈoʊ.vɚ/
own: /oʊn/
owner: /ˈoʊ.nɚ/
page: /peɪdʒ/
pain: /peɪn/
painting: /ˈpeɪn.t̬ɪŋ/
paper: /ˈpeɪ.pɚ/
parent: /ˈper.ənt/
part: /pɑːrt/
participant: /pɑːrˈtɪs.ə.pənt/
particular: /pɚˈtɪk.jə.lɚ/
particularly: /pɚˈtɪk.jə.lɚ.li/
partner: /ˈpɑːrt.nɚ/
party: /ˈpɑːr.t̬i/
pass: /pæs/
past: /pæst/
patient: /ˈpeɪ.ʃənt/
pattern: /ˈpæt̬.ɚn/
pay: /peɪ/
peace: /piːs/
people: /ˈpiː.pəl/
per: /pɝː/
perform: /pɚˈfɔːrm/
performance: /pɚˈfɔːr.məns/
perhaps: /pɚˈhæps/
period: /ˈpɪr.i.əd/
person: /ˈpɝː.sən/
personal: /ˈpɝː.sən.əl/
phone: /foʊn/
physical: /ˈfɪz.ɪ.kəl/
pick: /pɪk/
picture: /ˈpɪk.tʃɚ/
piece: /piːs/
place: /pleɪs/
plan: /plæn/
plant: /plænt/
play: /pleɪ/
player: /ˈpleɪ.ɚ/
PM: /ˌpiːˈem/
point: /pɔɪnt/
police: /pəˈliːs/
policy: /ˈpɑː.lə.si/
political: /pəˈlɪt̬.ə.kəl/
politics: /ˈpɑː.lə.tɪks/
poor: /pʊr/
popular: /ˈpɑː.pjə.lɚ/
population: /ˌpɑː.pjəˈleɪ.ʃən/
position: /pəˈzɪʃ.ən/
positive: /ˈpɑː.zə.t̬ɪv/
possible: /ˈpɑː.sə.bəl/
power: /ˈpaʊ.ɚ/
practice: /ˈpræk.tɪs/
prepare: /prɪˈper/
present: /ˈprez.ənt/
president: /ˈprez.ɪ.dənt/
pressure: /ˈpreʃ.ɚ/
pretty: /ˈprɪt̬.i/
prevent: /prɪˈvent/
price: /praɪs/
private: /ˈpraɪ.vət/
probably: /ˈprɑː.bə.bli/
problem: /ˈprɑː.bləm/
process: /ˈprɑː.ses/
produce: /prəˈduːs/
product: /ˈprɑː.dʌkt/
production: /prəˈdʌk.ʃən/
professional: /prəˈfeʃ.ən.əl/
professor: /prəˈfes.ɚ/
program: /ˈproʊ.ɡræm/
project: /ˈprɑː.dʒekt/
property: /ˈprɑː.pɚ.t̬i/
protect: /prəˈtekt/
prove: /pruːv/
provide: /prəˈvaɪd/
public: /ˈpʌb.lɪk/
pull: /pʊl/
purpose: /ˈpɝː.pəs/
push: /pʊʃ/
put: /pʊt/
quality: /ˈkwɑː.lə.t̬i/
question: /ˈkwes.tʃən/
quickly: /ˈkwɪk.li/
quite: /kwaɪt/
race: /reɪs/
radio: /ˈreɪ.di.oʊ/
raise: /reɪz/
range: /reɪndʒ/
rate: /reɪt/
rather: /ˈræð.ɚ/
reach: /riːtʃ/
read: /riːd/
ready: /ˈred.i/
real: /ˈriː.əl/
reality: /riˈæl.ə.t̬i/
realize: /ˈriː.ə.laɪz/
really: /ˈriː.ə.li/
reason: /ˈriː.zən/
receive: /rɪˈsiːv/
recent: /ˈriː.sənt/
recently: /ˈriː.sənt.li/
recognize: /ˈrek.əɡ.naɪz/
record: /rɪˈkɔːrd/
red: /red/
reduce: /rɪˈduːs/
reflect: /rɪˈflekt/
region: /ˈriː.dʒən/
relate: /rɪˈleɪt/
relationship: /rɪˈleɪ.ʃən.ʃɪp/
religious: Your browser doesn't support HTML5 audio
remain: /rɪˈmeɪn/
remember: /rɪˈmem.bɚ/
remove: /rɪˈmuːv/
report: /rɪˈpɔːrt/
represent: /ˌrep.rɪˈzent/
Republican: /rəˈpʌb.lɪ.kən/
require: /rɪˈkwaɪr/
research: /ˈriː.sɝːtʃ/
resource: /ˈriː.sɔːrs/
respond: /rɪˈspɑːnd/
response: /rɪˈspɑːns/
responsibility: /rɪˌspɑːn.səˈbɪl.ə.t̬i/
rest: /rest/
result: /rɪˈzʌlt/
return: /rɪˈtɝːn/
reveal: /rɪˈviːl/
rich: /rɪtʃ/
right: /raɪt/
rise: /raɪz/
risk: /rɪsk/
road: /roʊd/
rock: /rɑːk/
role: /roʊl/
room: /ruːm/
rule: /ruːl/
run: /rʌn/
safe: /seɪf/
same: /seɪm/
save: /seɪv/
say: /seɪ/
scene: /siːn/
school: /skuːl/
science: /ˈsaɪ.əns/
scientist: /ˈsaɪən.tɪst/
score: /skɔːr/
sea: /siː/
season: /ˈsiː.zən/
seat: /siːt/
second: /ˈsek.ənd/
section: /ˈsek.ʃən/
security: /səˈkjʊr.ə.t̬i/
see: /siː/
seek: /siːk/
seem: /siːm/
sell: /sel/
send: /send/
senior: /ˈsiː.njɚ/
sense: /sens/
series: /ˈsɪr.iːz/
serious: /ˈsɪr.i.əs/
serve: /sɝːv/
service: /ˈsɝː.vɪs/
set: /set/
seven: /ˈsev.ən/
several: /ˈsev.ɚ.əl/
sex: /seks/
sexual: /ˈsek.ʃu.əl/
shake: /ʃeɪk/
share: /ʃer/
she: /ʃiː/
shoot: /ʃuːt/
short: /ʃɔːrt/
shot: /ʃɑːt/
should: /ʃʊd/
shoulder: /ˈʃoʊl.dɚ/
show: /ʃoʊ/
side: /saɪd/
sign: /saɪn/
significant: /sɪɡˈnɪf.ə.kənt/
similar: /ˈsɪm.ə.lɚ/
simple: /ˈsɪm.pəl/
simply: /ˈsɪm.pli/
since: /sɪns/
sing: /sɪŋ/
single: /ˈsɪŋ.ɡəl/
sister: /ˈsɪs.tɚ/
sit: /sɪt/
site: /saɪt/
situation: /ˌsɪtʃ.uˈeɪ.ʃən/
six: /sɪks/
size: /saɪz/
skill: /skɪl/
skin: /skɪn/
small: /smɑːl/
smile: /smaɪl/
so: /soʊ/
social: /ˈsoʊ.ʃəl/
society: /səˈsaɪ.ə.t̬i/
soldier: /ˈsoʊl.dʒɚ/
some: /sʌm/
somebody: /ˈsʌmˌbɑː.di/
someone: /ˈsʌm.wʌn/
something: /ˈsʌm.θɪŋ/
sometimes: /ˈsʌm.taɪmz/
son: /sʌn/
song: /sɑːŋ/
soon: /suːn/
sort: /sɔːrt/
sound: /saʊnd/
source: /sɔːrs/
south: /saʊθ/
southern: /ˈsʌð.ɚn/
space: /speɪs/
speak: /spiːk/
special: /ˈspeʃ.əl/
specific: /spəˈsɪf.ɪk/
speech: /spiːtʃ/
spend: /spend/
sport: /spɔːrt/
spring: /sprɪŋ/
staff: /stæf/
stage: /steɪdʒ/
stand: /stænd/
standard: /ˈstæn.dɚd/
star: /stɑːr/
start: /stɑːrt/
state: /steɪt/
statement: /ˈsteɪt.mənt/
station: /ˈsteɪ.ʃən/
stay: /steɪ/
step: /step/
still: /stɪl/
stock: /stɑːk/
stop: /stɑːp/
store: /stɔːr/
story: /ˈstɔːr.i/
strategy: /ˈstræt̬.ə.dʒi/
street: /striːt/
strong: /strɑːŋ/
structure: /ˈstrʌk.tʃɚ/
student: /ˈstuː.dənt/
study: /ˈstʌd.i/
stuff: /stʌf/
style: /staɪl/
subject: /ˈsʌb.dʒekt/
success: /səkˈses/
successful: /səkˈses.fəl/
such: /sʌtʃ/
suddenly: /ˈsʌd.ən.li/
suffer: /ˈsʌf.ɚ/
suggest: /səˈdʒest/
summer: /ˈsʌm.ɚ/
support: /səˈpɔːrt/
sure: /ʃʊr/
surface: /ˈsɝː-/
system: /ˈsɪs.təm/
table: /ˈteɪ.bəl/
take: /teɪk/
talk: /tɑːk/
task: /tæsk/
tax: /tæks/
teach: /tiːtʃ/
teacher: /ˈtiː.tʃɚ/
team: /tiːm/
technology: /tekˈnɑː.lə.dʒi/
television: /ˈtel.ə.vɪʒ.ən/
tell: /tel/
ten: /ten/
tend: /tend/
term: /tɝːm/
test: /test/
than: /ðæn/
thank: /θæŋk/
that: /ðæt/
the: /ðiː/
their: /ðer/
them: /ðem/
themselves: /ðəmˈselvz/
then: /ðen/
theory: /ˈθɪr.i/
there: /ðer/
these: /ðiːz/
they: /ðeɪ/
thing: /θɪŋ/
think: /θɪŋk/
third: /θɝːd/
this: /ðɪs/
those: /ðoʊz/
though: /ðoʊ/
thought: /θɑːt/
thousand: /ˈθaʊ.zənd/
threat: /θret/
three: /θriː/
through: /θruː/
throughout: /θruːˈaʊt/
throw: /θroʊ/
thus: /ðʌs/
time: /taɪm/
to: /tuː/
today: /təˈdeɪ/
together: /təˈɡeð.ɚ/
tonight: /təˈnaɪt/
too: /tuː/
top: /tɑːp/
total: /ˈtoʊ.t̬əl/
tough: /tʌf/
toward: /tɔːrd/
town: /taʊn/
trade: /treɪd/
traditional: /trəˈdɪʃ.ən.əl/
training: /ˈtreɪ.nɪŋ/
travel: /ˈtræv.əl/
treat: /triːt/
treatment: /ˈtriːt.mənt/
tree: /triː/
trial: /traɪəl/
trip: /trɪp/
trouble: /ˈtrʌb.əl/
true: /truː/
truth: /truːθ/
try: /traɪ/
turn: /tɝːn/
TV: /ˌtiːˈviː/
two: /tuː/
type: /taɪp/
under: /ˈʌn.dɚ/
understand: /ˌʌn.dɚˈstænd/
unit: /ˈjuː.nɪt/
until: /ənˈtɪl/
up: /ʌp/
upon: /əˈpɑːn/
us: /ʌs/
use: /juːz/
usually: /ˈjuː.ʒu.ə.li/
value: /ˈvæl.juː/
various: /ˈver.i.əs/
very: /ˈver.i/
victim: /ˈvɪk.təm/
view: /vjuː/
violence: /ˈvaɪə.ləns/
visit: /ˈvɪz.ɪt/
voice: /vɔɪs/
vote: /voʊt/
wait: /weɪt/
walk: /wɑːk/
wall: /wɑːl/
want: /wɑːnt/
war: /wɔːr/
watch: /wɑːtʃ/
water: /ˈwɑː.t̬ɚ/
way: /weɪ/
we: /wiː/
weapon: /ˈwep.ən/
wear: /wer/
week: /wiːk/
weight: /weɪt/
well: /wel/
west: /west/
western: /ˈwes.tɚn/
what: /wɑːt/
whatever: /wɑːˈt̬ev.ɚ/
when: /wen/
where: /wer/
whether: /ˈweð.ɚ/
which: /wɪtʃ/
while: /waɪl/
white: /waɪt/
who: /huː/
whole: /hoʊl/
whom: /huːm/
whose: /huːz/
why: /waɪ/
wide: /waɪd/
wife: /waɪf/
will: /wɪl/
win: /wɪn/
wind: /wɪnd/
window: /ˈwɪn.doʊ/
wish: /wɪʃ/
with: /wɪð/
within: /wɪˈðɪn/
without: /wɪˈðaʊt/
woman: /ˈwʊm.ən/
wonder: /ˈwʌn.dɚ/
word: /wɝːd/
work: /wɝːk/
worker: /ˈwɝː.kɚ/
world: /wɝːld/
worry: /ˈwɝː.i/
would: /wʊd/
write: /raɪt/
writer: /ˈraɪ.t̬ɚ/
wrong: /rɑːŋ/
yard: /jɑːrd/
yeah: /jeə/
year: /jɪr/
yes: /jes/
yet: /jet/
you: /juː/
young: /jʌŋ/
your: /jʊr/
yourself: /jʊrˈself/
