a: EY
others: AH-DH.AX-R-Z
our: AW.AXR
out: AW-T
outside: AW-T.S-AY-D
over: OW.V-AXR
own: OW-N
owner: OW.N-AXR
page: P-EY-JH
pain: P-EY-N
painting: P-EY-N.T-IH-NG
paper: P-EY.P-AXR
parent: P-EH-R.AX-N-T
part: P-AA-R-T
participant: P-AA-R.T-IH-S.AX.P-AX-N-T
particular: P-AXR.T-IH-K.Y-AX.L-AXR
particularly: P-AXR.T-IH-K.Y-AX.L-AXR.L-IY
partner: P-AA-R-T.N-AXR
party: P-AA-R.T-IY
pass: P-AE-S
past: P-AE-S-T
patient: P-EY.SH-AX-N-T
pattern: P-AE-T.AXR-N
pay: P-EY
peace: P-IY-S
people: P-IY.P-AX-L
per: P-ER
perform: P-AXR.F-AO-R-M
performance: P-AXR.F-AO-R.M-AX-N-S
perhaps: P-AXR.HH-AE-P-S
period: P-IH-R.IY.AX-D
person: P-ER.S-AX-N
personal: P-ER.S-AX-N.AX-L
phone: F-OW-N
physical: F-IH-Z.IH.K-AX-L
pick: P-IH-K
picture: P-IH-K.CH-AXR
piece: P-IY-S
place: P-L-EY-S
plan: P-L-AE-N
plant: P-L-AE-N-T
play: P-L-EY
player: P-L-EY.AXR
PM: P-IY.EH-M
point: P-OY-N-T
police: P-AX.L-IY-S
policy: P-AA.L-AX.S-IY
political: P-AX.L-IH-T.AX.K-AX-L
politics: P-AA.L-AX.T-IH-K-S
poor: P-UH-R
popular: P-AA.P-Y-AX.L-AXR
population: P-AA.P-Y-AX.L-EY.SH-AX-N
position: P-AX.Z-IH-SH.AX-N
positive: P-AA.Z-AX.T-IH-V
possible: P-AA.S-AX.B-AX-L
power: P-AW.AXR
practice: P-R-AE-K.T-IH-S
prepare: P-R-IH.P-EH-R
present: P-R-EH-Z.AX-N-T
president: P-R-EH-Z.IH.D-AX-N-T
pressure: P-R-EH-SH.AXR
pretty: P-R-IH-T.IY
prevent: P-R-IH.V-EH-N-T
price: P-R-AY-S
private: P-R-AY.V-AX-T
probably: P-R-AA.B-AX.B-L-IY
problem: P-R-AA.B-L-AX-M
process: P-R-AA.S-EH-S
produce: P-R-AX.D-UW-S
product: P-R-AA.D-AH-K-T
production: P-R-AX.D-AH-K.SH-AX-N
professional: P-R-AX.F-EH-SH.AX-N.AX-L
professor: P-R-AX.F-EH-S.AXR
program: P-R-OW.G-R-AE-M
project: P-R-AA.JH-EH-K-T
property: P-R-AA.P-AXR.T-IY
protect: P-R-AX.T-EH-K-T
prove: P-R-UW-V
provide: P-R-AX.V-AY-D
public: P-AH-B.L-IH-K
pull: P-UH-L
purpose: P-ER.P-AX-S
push: P-UH-SH
put: P-UH-T
quality: K-W-AA.L-AX.T-IY
question: K-W-EH-S.CH-AX-N
quickly: K-W-IH-K.L-IY
quite: K-W-AY-T
race: R-EY-S
radio: R-EY.D-IY.OW
raise: R-EY-Z
range: R-EY-N-JH
rate: R-EY-T
rather: R-AE-DH.AXR
reach: R-IY-CH
read: R-IY-D
ready: R-EH-D.IY
real: R-IY.AX-L
reality: R-IY.AE-L.AX.T-IY
realize: R-IY.AX.L-AY-Z
really: R-IY.AX.L-IY
reason: R-IY.Z-AX-N
receive: R-IH.S-IY-V
recent: R-IY.S-AX-N-T
recently: R-IY.S-AX-N-T.L-IY
recognize: R-EH-K.AX-G.N-AY-Z
record: R-IH.K-AO-R-D
red: R-EH-D
reduce: R-IH.D-UW-S
reflect: R-IH.F-L-EH-K-T
region: R-IY.JH-AX-N
relate: R-IH.L-EY-T
relationship: R-IH.L-EY.SH-AX-N.SH-IH-P
remain: R-IH.M-EY-N
remember: R-IH.M-EH-M.B-AXR
remove: R-IH.M-UW-V
report: R-IH.P-AO-R-T
represent: R-EH-P.R-IH.Z-EH-N-T
Republican: R-AX.P-AH-B.L-IH.K-AX-N
require: R-IH.K-W-AY-R
research: R-IY.S-ER-CH
resource: R-IY.S-AO-R-S
respond: R-IH.S-P-AA-N-D
response: R-IH.S-P-AA-N-S
responsibility: R-IH.S-P-AA-N.S-AX.B-IH-L.AX.T-IY
rest: R-EH-S-T
result: R-IH.Z-AH-L-T
return: R-IH.T-ER-N
reveal: R-IH.V-IY-L
rich: R-IH-CH
right: R-AY-T
rise: R-AY-Z
risk: R-IH-S-K
road: R-OW-D
rock: R-AA-K
role: R-OW-L
room: R-UW-M
rule: R-UW-L
run: R-AH-N
safe: S-EY-F
same: S-EY-M
save: S-EY-V
say: S-EY
scene: S-IY-N
school: S-K-UW-L
science: S-AY.AX-N-S
scientist: S-AY-AX-N.T-IH-S-T
score: S-K-AO-R
sea: S-IY
season: S-IY.Z-AX-N
seat: S-IY-T
second: S-EH-K.AX-N-D
section: S-EH-K.SH-AX-N
security: S-AX.K-Y-UH-R.AX.T-IY
see: S-IY
seek: S-IY-K
seem: S-IY-M
sell: S-EH-L
send: S-EH-N-D
senior: S-IY.N-Y-AXR
sense: S-EH-N-S
series: S-IH-R.IY-Z
serious: S-IH-R.IY.AX-S
serve: S-ER-V
service: S-ER.V-IH-S
set: S-EH-T
seven: S-EH-V.AX-N
several: S-EH-V.AXR.AX-L
sex: S-EH-K-S
sexual: S-EH-K.SH-UW.AX-L
shake: SH-EY-K
share: SH-EH-R
she: SH-IY
shoot: SH-UW-T
short: SH-AO-R-T
shot: SH-AA-T
should: SH-UH-D
shoulder: SH-OW-L.D-AXR
show: SH-OW
side: S-AY-D
sign: S-AY-N
significant: S-IH-G.N-IH-F.AX.K-AX-N-T
similar: S-IH-M.AX.L-AXR
simple: S-IH-M.P-AX-L
simply: S-IH-M.P-L-IY
since: S-IH-N-S
sing: S-IH-NG
single: S-IH-NG.G-AX-L
sister: S-IH-S.T-AXR
sit: S-IH-T
site: S-AY-T
situation: S-IH-CH.UW.EY.SH-AX-N
six: S-IH-K-S
size: S-AY-Z
skill: S-K-IH-L
skin: S-K-IH-N
small: S-M-AA-L
smile: S-M-AY-L
so: S-OW
social: S-OW.SH-AX-L
society: S-AX.S-AY.AX.T-IY
soldier: S-OW-L.JH-AXR
some: S-AH-M
somebody: S-AH-M.B-AA.D-IY
someone: S-AH-M.W-AH-N
something: S-AH-M.TH-IH-NG
sometimes: S-AH-M.T-AY-M-Z
son: S-AH-N
song: S-AA-NG
soon: S-UW-N
sort: S-AO-R-T
sound: S-AW-N-D
source: S-AO-R-S
south: S-AW-TH
southern: S-AH-DH.AXR-N
space: S-P-EY-S
speak: S-P-IY-K
special: S-P-EH-SH.AX-L
specific: S-P-AX.S-IH-F.IH-K
speech: S-P-IY-CH
spend: S-P-EH-N-D
sport: S-P-AO-R-T
spring: S-P-R-IH-NG
staff: S-T-AE-F
stage: S-T-EY-JH
stand: S-T-AE-N-D
standard: S-T-AE-N.D-AXR-D
star: S-T-AA-R
start: S-T-AA-R-T
state: S-T-EY-T
statement: S-T-EY-T.M-AX-N-T
station: S-T-EY.SH-AX-N
stay: S-T-EY
step: S-T-EH-P
still: S-T-IH-L
stock: S-T-AA-K
stop: S-T-AA-P
store: S-T-AO-R
story: S-T-AO-R.IY
strategy: S-T-R-AE-T.AX.JH-IY
street: S-T-R-IY-T
strong: S-T-R-AA-NG
structure: S-T-R-AH-K.CH-AXR
student: S-T-UW.D-AX-N-T
study: S-T-AH-D.IY
stuff: S-T-AH-F
style: S-T-AY-L
subject: S-AH-B.JH-EH-K-T
success: S-AX-K.S-EH-S
successful: S-AX-K.S-EH-S.F-AX-L
such: S-AH-CH
suddenly: S-AH-D.AX-N.L-IY
suffer: S-AH-F.AXR
suggest: S-AX.JH-EH-S-T
summer: S-AH-M.AXR
support: S-AX.P-AO-R-T
sure: SH-UH-R
surface: S-ER.F-IH-S
system: S-IH-S.T-AX-M
table: T-EY.B-AX-L
take: T-EY-K
talk: T-AA-K
task: T-AE-S-K
tax: T-AE-K-S
teach: T-IY-CH
teacher: T-IY.CH-AXR
team: T-IY-M
technology: T-EH-K.N-AA.L-AX.JH-IY
television: T-EH-L.AX.V-IH-ZH.AX-N
tell: T-EH-L
ten: T-EH-N
tend: T-EH-N-D
term: T-ER-M
test: T-EH-S-T
than: DH-AE-N
thank: TH-AE-NG-K
that: DH-AE-T
the: DH-IY
their: DH-EH-R
them: DH-EH-M
themselves: DH-AX-M.S-EH-L-V-Z
then: DH-EH-N
theory: TH-IH-R.IY
there: DH-EH-R
these: DH-IY-Z
they: DH-EY
thing: TH-IH-NG
think: TH-IH-NG-K
third: TH-ER-D
this: DH-IH-S
those: DH-OW-Z
though: DH-OW
thought: TH-AA-T
thousand: TH-AW.Z-AX-N-D
threat: TH-R-EH-T
three: TH-R-IY
through: TH-R-UW
throughout: TH-R-UW.AW-T
throw: TH-R-OW
thus: DH-AH-S
time: T-AY-M
to: T-UW
today: T-AX.D-EY
together: T-AX.G-EH-DH.AXR
tonight: T-AX.N-AY-T
too: T-UW
top: T-AA-P
total: T-OW.T-AX-L
tough: T-AH-F
toward: T-AO-R-D
town: T-AW-N
trade: T-R-EY-D
traditional: T-R-AX.D-IH-SH.AX-N.AX-L
training: T-R-EY.N-IH-NG
travel: T-R-AE-V.AX-L
treat: T-R-IY-T
treatment: T-R-IY-T.M-AX-N-T
tree: T-R-IY
trial: T-R-AY-AX-L
trip: T-R-IH-P
trouble: T-R-AH-B.AX-L
true: T-R-UW
truth: T-R-UW-TH
try: T-R-AY
turn: T-ER-N
TV: T-IY.V-IY
two: T-UW
type: T-AY-P
under: AH-N.D-AXR
understand: AH-N.D-AXR.S-T-AE-N-D
unit: Y-UW.N-IH-T
until: AX-N.T-IH-L
up: AH-P
upon: AX.P-AA-N
us: AH-S
use: Y-UW-Z
usually: Y-UW.ZH-UW.AX.L-IY
value: V-AE-L.Y-UW
various: V-EH-R.IY.AX-S
very: V-EH-R.IY
victim: V-IH-K.T-AX-M
view: V-Y-UW
violence: V-AY-AX.L-AX-N-S
visit: V-IH-Z.IH-T
voice: V-OY-S
vote: V-OW-T
wait: W-EY-T
walk: W-AA-K
wall: W-AA-L
want: W-AA-N-T
war: W-AO-R
watch: W-AA-CH
water: W-AA.T-AXR
way: W-EY
we: W-IY
weapon: W-EH-P.AX-N
wear: W-EH-R
week: W-IY-K
weight: W-EY-T
well: W-EH-L
west: W-EH-S-T
western: W-EH-S.T-AXR-N
what: W-AA-T
whatever: W-AA.T-EH-V.AXR
when: W-EH-N
where: W-EH-R
whether: W-EH-DH.AXR
which: W-IH-CH
while: W-AY-L
white: W-AY-T
who: HH-UW
whole: HH-OW-L
whom: HH-UW-M
whose: HH-UW-Z
why: W-AY
wide: W-AY-D
wife: W-AY-F
will: W-IH-L
win: W-IH-N
wind: W-IH-N-D
window: W-IH-N.D-OW
wish: W-IH-SH
with: W-IH-DH
within: W-IH.DH-IH-N
without: W-IH.DH-AW-T
woman: W-UH-M.AX-N
wonder: W-AH-N.D-AXR
word: W-ER-D
work: W-ER-K
worker: W-ER.K-AXR
world: W-ER-L-D
worry: W-ER.IY
would: W-UH-D
write: R-AY-T
writer: R-AY.T-AXR
wrong: R-AA-NG
yard: Y-AA-R-D
